"","KCL code","name","ancestry_details","ancestry.x","sex.x","category_name","year.x","pmid","trait_detail","h2.observed","h2.se","h2.z","lambda.GC","mean.chi.2"
"41","ALZH01","Alzheimer","European","EUR","both","nervous system",2013,24162737,"Alzheimer’s disease",0.0688,0.0128,5.375,1.0926,1.1144
"42","AMIN01","Alanine","European (+ Finnish)","EUR","both","metabolism: amino acids",2016,27005778,"Alanine",0.0816,0.0257,3.17509728,1.0345,1.0522
"43","AMIN02","Glutamine","European (+ Finnish)","EUR","both","metabolism: amino acids",2016,27005778,"Glutamine",0.0683,0.0222,3.07657658,1.0285,1.0477
"44","AMIN03","Glycine","European (+ Finnish)","EUR","both","metabolism: amino acids",2016,27005778,"Glycine",0.2172,0.1186,1.83136594,1.0225,1.0698
"45","AMIN04","Histidine","European (+ Finnish)","EUR","both","metabolism: amino acids",2016,27005778,"Histidine",0.0386,0.0233,1.65665236,1.0165,1.0173
"46","AMIN05","Isoleucine","European (+ Finnish)","EUR","both","metabolism: amino acids",2016,27005778,"Isoleucine",0.0735,0.0225,3.26666667,1.0255,1.0282
"47","AMIN06","Leucine","European (+ Finnish)","EUR","both","metabolism: amino acids",2016,27005778,"Leucine",0.0496,0.0207,2.39613527,1.0315,1.0308
"48","AMIN07","Phenylalanine","European (+ Finnish)","EUR","both","metabolism: amino acids",2016,27005778,"Phenylalanine",0.0575,0.0219,2.62557078,1.0225,1.0283
"49","AMIN08","Tyrosine","European (+ Finnish)","EUR","both","metabolism: amino acids",2016,27005778,"Tyrosine",0.0673,0.0239,2.81589958,1.0255,1.0345
"50","AMIN09","Valine","European (+ Finnish)","EUR","both","metabolism: amino acids",2016,27005778,"Valine",0.0625,0.0189,3.30687831,1.0405,1.0444
"51","AMIN10M","Glycine male","","EUR","male","metabolism: amino acids",2019,31070104,"Glycine male",NA,NA,2.967592593,NA,NA
"52","AMYG01","Subcortical brain regions: Amygdala","European","EUR","both","nervous system",2015,25607358,"Subcortical brain regions: Amygdala",-0.0214,0.0324,-0.6604938,0.9957,0.9965
"53","ANKL01","Ankle injury","EUR, LAT and EAS ancestry groups","MIX","both","musculoskeletal and connective",2017,28957384,"Ankle injury",0.0043,0.0043,1,1.0075,1.009
"54","ANKY01","Ankylosing spondylitis","European","EUR","both","autoimmune",2013,23749187,"Ankylosing spondylitis",NA,NA,2.325150124,NA,NA
"55","ANOR01","Anorexia nervosa (PGC1)","European and Japanese","MIX","both","mental and behavioural",2017,28494655,"Anorexia nervosa (PGC1)",0.2676,0.0356,7.51685393,1.0741,1.0757
"56","ANOR02","Anorexia nervosa (PGC2)","European","EUR","both","mental and behavioural",2019,31308545,"Anorexia nervosa (PGC2)",0.1738,0.0116,14.9827586,1.2431,1.2804
"57","ANOR03","Anorexia nervosa bingeing","European","EUR","both","mental and behavioural",NA,NA,"Anorexia nervosa with binge eating",0.2381,0.0392,6.07397959,1.0496,1.0557
"58","ANOR04","Anorexia nervosa restricting","European","EUR","both","mental and behavioural",NA,NA,"Anorexia nervosa without binge eating",0.1781,0.0412,4.32281553,1.0496,1.0494
"59","ANXI01","Anxiety Disorders meta-analysis: factor scores","European","EUR","both","mental and behavioural",2016,26754954,"Anxiety disorders factor scores",0.0684,0.0268,2.55223881,1.0195,1.0239
"60","ANXI02","Anxiety Disorders meta-analysis: case-control","European","EUR","both","mental and behavioural",2016,26754954,"Anxiety disorders case-control",0.0763,0.0304,2.50986842,1.0345,1.0298
"61","ANXI03","Lifetime probable anxiety diagnosis","European","EUR","both","mental and behavioural",2020,31748690,"Lifetime probable anxiety diagnosis",0.1041,0.0069,15.0869565,1.1428,1.1591
"62","APOL01","Apolipoprotein A-I","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Apolipoprotein A-I",0.0979,0.0305,3.20983607,1.0165,1.0329
"63","APOL02","Apolipoprotein B","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Apolipoprotein B",0.1065,0.0311,3.4244373,1.0255,1.0429
"64","ASTH01","Asthma","European","EUR","both","respiratory",2010,20860503,"Asthma",0.1174,0.0217,5.41013825,0.9518,0.9697
"65","ATOP01","Atopic dermatitis","European","EUR","both","skin",2015,26482879,"Atopic dermatitis",0.0711,0.0166,4.28313253,1.0527,1.08
"66","AUTI07","Autism spectrum disorder (PGC + iPSYCH)","","EUR","both","mental and behavioural",2019,30804558,"Autism spectrum disorder (PGC +iPSYCH)",0.203,0.0154,13.1818182,1.1619,1.1858
"67","AUTI07","Autism spectrum disorder (PGC + iPSYCH)","","EUR","both","mental and behavioural",2019,30804558,"Autism spectrum disorder (PGC +iPSYCH)",0.203,0.0154,13.1818182,1.1619,1.1858
"68","BALD01","Male pattern baldness","European (UK)","EUR","male","autoimmune",2017,28196072,"Male pattern baldness",0.2828,0.0301,9.39534884,1.1715,1.3525
"69","BFPC01","Body fat percentage (Lu. et al)","predominantly of European ancestry","MIX","both","anthropometric",2016,26833246,"Body fat percentage (Lu. et al)",0.1038,0.0075,13.84,1.0315,1.0576
"70","BFPC03","Body fat percentage healthy","European","EUR","both","anthropometric",NA,NA,"Body fat percentage healthy both",0.1992,0.0071,28.056338,1.4926,1.6477
"71","BIPO03","","","","","",NA,NA,"",0.0707,0.0027,26.18518519,NA,NA
"72","BLOO01","Platelet count","European","EUR","both","blood",2016,27863252,"platelet count",0.2293,0.0174,13.1781609,1.2531,1.7722
"73","BLOO02","Red blood cell count","European","EUR","both","blood",2016,27863252,"red blood cell count",0.1831,0.0149,12.2885906,1.2498,1.6477
"74","BLOO03","Hemoglobin concentration","European","EUR","both","blood",2016,27863252,"hemoglobin concentration",0.1351,0.0107,12.6261682,1.2136,1.4633
"75","BLOO04","Reticulocyte count","European","EUR","both","blood",2016,27863252,"reticulocyte count",0.1706,0.0156,10.9358974,1.2103,1.6381
"76","BLOO05","Monocyte count","European","EUR","both","blood",2016,27863252,"monocyte count",0.1943,0.0203,9.57142857,1.2201,1.6784
"77","BLOO06","Neutrophil count","European","EUR","both","blood",2016,27863252,"neutrophil count",0.1526,0.0134,11.3880597,1.2136,1.5165
"78","BLOO07","Eosinophil count","European","EUR","both","blood",2016,27863252,"eosinophil count",0.1633,0.0146,11.1849315,1.1876,1.6208
"79","BLOO08","Basophil count","European","EUR","both","blood",2016,27863252,"basophil count",0.0716,0.0076,9.42105263,1.1144,1.2468
"80","BLOO09","Granulocyte count","European","EUR","both","blood",2016,27863252,"granulocyte count",0.1531,0.0133,11.5112782,1.2103,1.5223
"81","BLOO10","Myeloid white cell count","European","EUR","both","blood",2016,27863252,"myeloid white cell count",0.1569,0.0129,12.1627907,1.2168,1.5381
"82","BLOO11","Lymphocyte count","European","EUR","both","blood",2016,27863252,"lymphocyte count",0.1717,0.0125,13.736,1.2431,1.6129
"83","BLOO12","White blood cell count","European","EUR","both","blood",2016,27863252,"white blood cell count",0.1703,0.0122,13.9590164,1.2464,1.5948
"84","BLOO13","Sum basophil neutrophil counts","European","EUR","both","blood",2016,27863252,"Sum basophil neutrophil counts",0.1535,0.0136,11.2867647,1.2168,1.5212
"85","BLOO14","Basophil percentage of white cells","European","EUR","both","blood",2016,27863252,"Basophil percentage of white cells",0.0572,0.0072,7.94444444,1.0895,1.193
"86","BLOO15","Basophil percentage of granulocytes","European","EUR","both","blood",2016,27863252,"Basophil percentage of granulocytes",0.0589,0.0068,8.66176471,1.0988,1.1952
"87","BLOO16","Sum eosinophil basophil counts","European","EUR","both","blood",2016,27863252,"Sum eosinophil basophil counts",0.1558,0.0136,11.4558824,1.1908,1.5921
"88","BLOO17","Eosinophil percentage of white cells","European","EUR","both","blood",2016,27863252,"Eosinophil percentage of white cells",0.1617,0.0135,11.9777778,1.1876,1.6004
"89","BLOO18","Eosinophil percentage of granulocytes","European","EUR","both","blood",2016,27863252,"Eosinophil percentage of granulocytes",0.1566,0.013,12.0461539,1.1876,1.5785
"90","BLOO19","Granulocyte percentage of myeloid white cells","European","EUR","both","blood",2016,27863252,"Granulocyte percentage of myeloid white cells",0.1633,0.017,9.60588235,1.1683,1.5446
"91","BLOO20","Hematocrit","European","EUR","both","blood",2016,27863252,"Hematocrit",0.135,0.0104,12.9807692,1.2103,1.47
"92","BLOO21","High light scatter percentage of red cells","European","EUR","both","blood",2016,27863252,"High light scatter percentage of red cells",0.1743,0.0155,11.2451613,1.2136,1.6376
"93","BLOO22","High light scatter reticulocyte count","European","EUR","both","blood",2016,27863252,"High light scatter reticulocyte count",0.1726,0.0155,11.1354839,1.2201,1.6425
"94","BLOO23","Immature fraction of reticulocytes","European","EUR","both","blood",2016,27863252,"Immature fraction of reticulocytes",0.1304,0.0128,10.1875,1.1555,1.4538
"95","BLOO24","Lymphocyte percentage of white cells","European","EUR","both","blood",2016,27863252,"Lymphocyte percentage of white cells",0.1391,0.0094,14.7978723,1.2038,1.48
"96","BLOO25","Mean corpuscular hemoglobin concentration MCHC","European","EUR","both","blood",2016,27863252,"Mean corpuscular hemoglobin concentration MCHC",0.0922,0.0102,9.03921569,1.0988,1.2928
"97","BLOO26","Mean corpuscular hemoglobin MCH","European","EUR","both","blood",2016,27863252,"Mean corpuscular hemoglobin MCH",0.2266,0.0241,9.40248963,1.194,1.7674
"98","BLOO27","Mean corpuscular volume","European","EUR","both","blood",2016,27863252,"Mean corpuscular volume",0.2443,0.0247,9.89068826,1.2136,1.8174
"99","BLOO28","Monocyte percentage of white cells","European","EUR","both","blood",2016,27863252,"Monocyte percentage of white cells",0.1783,0.02,8.915,1.1715,1.6023
"100","BLOO29","Mean platelet volume","European","EUR","both","blood",2016,27863252,"Mean platelet volume",0.2685,0.0311,8.63344051,1.2005,1.9016
"101","BLOO30","Sum neutrophil eosinophil counts","European","EUR","both","blood",2016,27863252,"Sum neutrophil eosinophil counts",0.1533,0.0133,11.5263158,1.2136,1.5239
"102","BLOO31","Neutrophil percentage of granulocytes","European","EUR","both","blood",2016,27863252,"Neutrophil percentage of granulocytes",0.1463,0.0123,11.8943089,1.1843,1.5324
"103","BLOO32","Neutrophil percentage of white cells","European","EUR","both","blood",2016,27863252,"Neutrophil percentage of white cells",0.1356,0.0095,14.2736842,1.1973,1.4509
"104","BLOO33","Plateletcrit","European","EUR","both","blood",2016,27863252,"Plateletcrit",0.2051,0.0176,11.6534091,1.2498,1.6983
"105","BLOO34","Platelet distribution width","European","EUR","both","blood",2016,27863252,"Platelet distribution width",0.166,0.0157,10.5732484,1.1779,1.5951
"106","BLOO35","Red cell distribution width","European","EUR","both","blood",2016,27863252,"Red cell distribution width",0.1822,0.0183,9.95628415,1.1651,1.6281
"107","BLOO36","Reticulocyte fraction of red cells","European","EUR","both","blood",2016,27863252,"Reticulocyte fraction of red cells",0.1728,0.0162,10.6666667,1.2038,1.6375
"108","BLOP01","","","","","",NA,NA,"",NA,NA,NA,NA,NA
"109","BLOP02","","","","","",NA,NA,"",NA,NA,NA,NA,NA
"110","BODY02","Extreme BMI","European","EUR","both","anthropometric",2013,23563607,"Extreme BMI",0.5936,0.045,13.1911111,1.0466,1.0828
"111","BODY03","BMI (MIX Locke)","All Ancestry but mostly European (+ AMR, SAS, EAS, AFR)","MIX","both","anthropometric",2015,25673413,"BMI (MIX Locke)",0.1346,0.0057,23.6140351,1.1301,1.3228
"112","BODY04","BMI (EUR Locke)","European","EUR","both","anthropometric",2015,25673413,"BMI (EUR Locke)",0.1297,0.0056,23.1607143,1.0772,1.2603
"113","BODY05","BMI dominance deviation","European","EUR","both","anthropometric",2016,26961502,"BMI dominance deviation",0.0029,0.0029,1,0.9986,1.0055
"114","BODY07","BMI healthy","European","EUR","both","anthropometric",NA,NA,"BMI healthy both",0.2083,0.0081,25.7160494,1.5144,1.6821
"115","CANC01","","","","","",NA,NA,"",NA,NA,NA,NA,NA
"116","CANU01","Lifetime cannabis use","European","EUR","both","mental and behavioural",2016,27023175,"Lifetime cannabis use",0.0897,0.0162,5.53703704,1.0527,1.0573
"117","CAUD01","Subcortical brain regions: Caudate","European","EUR","both","nervous system",2015,25607358,"Subcortical brain regions: Caudate",0.2507,0.0378,6.63227513,1.0285,1.0333
"118","CELI01","Celiac Disease","European","EUR","both","autoimmune",2010,20190752,"Celiac Disease",0.2461,0.046,5.35,1.105,1.1348
"119","CHKD01","CKD (chronic kidney disease)","European","EUR","both","genitourinary",2016,26831199,"CKD (chronic kidney disease)",0.0187,0.0057,3.28070175,1.0466,1.062
"120","CHOL01","Cholesterol esters in large HDL","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Cholesterol esters in large HDL",0.158,0.0343,4.60641399,1.0255,1.0479
"121","CHOL02","Cholesterol esters in large LDL","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Cholesterol esters in large LDL",0.1231,0.0317,3.88328076,1.0225,1.0425
"122","CHOL03","Cholesterol esters in large VLDL","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Cholesterol esters in large VLDL",0.1597,0.0322,4.95962733,1.0255,1.0387
"123","CHOL04","Cholesterol esters in medium HDL","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Cholesterol esters in medium HDL",0.0644,0.0276,2.33333333,1.0135,1.0218
"124","CHOL05","Cholesterol esters in medium LDL","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Cholesterol esters in medium LDL",0.1219,0.0313,3.89456869,1.0225,1.0419
"125","CHOL06","Cholesterol esters in medium VLDL","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Cholesterol esters in medium VLDL",0.1493,0.0343,4.35276968,1.0165,1.0441
"126","CHOL07","Cholesterol esters in very large HDL","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Cholesterol esters in very large HDL",0.0578,0.0288,2.00694444,1.0105,1.03
"127","CHOL08","Cholesterol in large HDL","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Cholesterol in large HDL",0.1363,0.0319,4.27272727,1.0255,1.0503
"128","CHOL09","Mean diameter for HDL particles","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Mean diameter for HDL particles",0.1682,0.0439,3.83143508,1.0255,1.0525
"129","CHOL10","Free cholesterol","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Free cholesterol",0.0897,0.0421,2.13064133,1.0225,1.0415
"130","CHOL11","Free cholesterol in IDL","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Free cholesterol in IDL",0.1159,0.0283,4.09540636,1.0255,1.0499
"131","CHOL12","Free cholesterol in large HDL","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Free cholesterol in large HDL",0.1344,0.0323,4.16099071,1.0285,1.0535
"132","CHOL13","Free cholesterol in large LDL","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Free cholesterol in large LDL",0.1127,0.0268,4.20522388,1.0225,1.0452
"133","CHOL14","Free cholesterol in large VLDL","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Free cholesterol in large VLDL",0.1138,0.0267,4.26217229,1.0255,1.0396
"134","CHOL15","Free cholesterol in medium HDL","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Free cholesterol in medium HDL",0.0739,0.0232,3.18534483,1.0135,1.0267
"135","CHOL16","Free cholesterol in medium VLDL","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Free cholesterol in medium VLDL",0.1018,0.0294,3.46258503,1.0195,1.0418
"136","CHOL17","Free cholesterol in small VLDL","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Free cholesterol in small VLDL",0.1154,0.0311,3.71061093,1.0285,1.0469
"137","CHOL18","Free cholesterol in very large HDL","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Free cholesterol in very large HDL",0.0752,0.0306,2.45751634,1.0075,1.0349
"138","CHOL19","Free cholesterol to esterified cholesterol ratio","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Free cholesterol to esterified cholesterol ratio",0.0868,0.042,2.06666667,1.0135,1.029
"139","CHOL20","Serum total cholesterol","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Serum total cholesterol",0.0933,0.0302,3.08940397,1.0225,1.0488
"140","CHOL21","Total cholesterol","European","EUR","both","metabolism: lipids",2010,20686565,"Total cholesterol",0.1322,0.0147,8.99319728,1.0016,1.1408
"141","CHOL22","Total cholesterol in HDL","European","EUR","both","metabolism: lipids",2010,20686565,"HDL cholesterol",0.1365,0.0164,8.32317073,1.0165,1.1502
"142","CHOL23","Total cholesterol in HDL","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Total cholesterol in HDL",0.1165,0.027,4.31481482,1.0225,1.0467
"143","CHOL24","Total cholesterol in IDL","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Total cholesterol in IDL",0.1188,0.0312,3.80769231,1.0225,1.046
"144","CHOL25","Total cholesterol in large LDL","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Total cholesterol in large LDL",0.1122,0.0265,4.23396226,1.0225,1.0432
"145","CHOL26","Total cholesterol in large VLDL","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Total cholesterol in large VLDL",0.1126,0.027,4.17037037,1.0255,1.0387
"146","CHOL27","Total cholesterol in LDL","European","EUR","both","metabolism: lipids",2010,20686565,"LDL-cholesterol",0.1212,0.0162,7.48148148,1.0165,1.1379
"147","CHOL28","Total cholesterol in LDL","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Total cholesterol in LDL",0.1155,0.0286,4.03846154,1.0195,1.0438
"148","CHOL29","Total cholesterol in medium HDL","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Total cholesterol in medium HDL",0.063,0.0245,2.57142857,1.0135,1.0226
"149","CHOL30","Total cholesterol in medium LDL","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Total cholesterol in medium LDL",0.1125,0.0272,4.13602941,1.0255,1.043
"150","CHOL31","Total cholesterol in medium VLDL","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Total cholesterol in medium VLDL",0.1169,0.0303,3.85808581,1.0195,1.0446
"151","CHOL32","Total cholesterol in small LDL","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Total cholesterol in small LDL",0.1045,0.0297,3.51851852,1.0165,1.047
"152","CHOL33","Total cholesterol in small VLDL","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Total cholesterol in small VLDL",0.0979,0.0294,3.32993197,1.0225,1.0429
"153","CHOL34","Total cholesterol in very large HDL","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Total cholesterol in very large HDL",0.052,0.0247,2.10526316,1.0046,1.0272
"154","CHRO01","Chronotype","European","EUR","both","mental and behavioural",2016,27494321,"Chronotype",0.1015,0.0059,17.2033898,1.2005,1.265
"155","CHRO02","Sleep Duration","European","EUR","both","mental and behavioural",2016,27494321,"Sleep Duration",0.0553,0.0051,10.8431373,1.1459,1.1567
"156","CHRO05","Oversleeper","European","EUR","both","mental and behavioural",2016,27494321,"Oversleeper",0.019,0.004,4.75,1.0466,1.063
"157","CHRO06","Undersleeper","European","EUR","both","mental and behavioural",2016,27494321,"Undersleeper",0.0414,0.004,10.35,1.0957,1.1091
"158","CIRR01","Primary Biliary Cirrhosis","European","EUR","both","autoimmune",2015,26394269,"Primary Biliary Cirrhosis",0.3782,0.0589,6.42105263,1.0496,1.1058
